[VEP run statistics]
VEP version (API)	 115.2 (115)
Annotation sources	Cache: /data/db/data_managers/vep/106/hg38/default/homo_sapiens/106_GRCh38
Species	homo_sapiens
Command line options	--af --allele_number --appris --biotype --cache  --cache_version 106 --canonical --ccds --check_existing --coding_only --dir_cache /data/db/data_managers/vep/106/hg38/default --domains --exclude_null_alleles --fasta reference.fa --gene_phenotype --hgvs --hgvsg --input_file /data/cache07/object_store_cache/c/c/d/dataset_ccdc401b-251e-4010-9dd3-1c55b1a5b57c.dat --mane --mane_select --max_af --no_escape --no_intergenic --numbers --offline --output_file MainOutput.vcf --polyphen b --protein --pubmed --show_ref_allele --sift b --species homo_sapiens --stats_text --symbol --terms SO --total_length --transcript_version --tsl --uniprot --var_synonyms --variant_class --vcf --vcf_info_field CSQ --xref_refseq
Start time	2026-05-13 10:35:12
End time	2026-05-13 12:49:27
Run time	8055 seconds
Input file	/data/cache07/object_store_cache/c/c/d/dataset_ccdc401b-251e-4010-9dd3-1c55b1a5b57c.dat
Output file	MainOutput.vcf

[Data version]
1000genomes	phase3
COSMIC	92
ClinVar	202109
ESP	V2-SSA137
HGMD-PUBLIC	20204
assembly	GRCh38.p13
dbSNP	154
gencode	GENCODE 40
genebuild	2014-07
gnomAD	r2.1.1
polyphen	2.2.2
regbuild	1.0
sift	sift5.2.2

[General statistics]
Lines of input read	2938254
Variants processed	2934639
Variants filtered out	0
Novel / existing variants	1183892 (40.3) / 1750747 (59.7)
Overlapped genes	17091
Overlapped transcripts	77517
Overlapped regulatory features	-

[Variant classes]
indel	24815
substitution	74589
insertion	96576
deletion	161581
SNV	2577078

[Consequences (most severe)]
splice_acceptor_variant	1124
splice_donor_variant	1212
stop_gained	3522
frameshift_variant	3074
stop_lost	192
start_lost	169
inframe_insertion	133
inframe_deletion	308
missense_variant	53023
protein_altering_variant	21
splice_donor_5th_base_variant	699
splice_region_variant	7210
splice_donor_region_variant	1636
splice_polypyrimidine_tract_variant	6338
incomplete_terminal_codon_variant	3
start_retained_variant	1
stop_retained_variant	30
synonymous_variant	23502
coding_sequence_variant	10
mature_miRNA_variant	90
5_prime_UTR_variant	18019
3_prime_UTR_variant	72553
non_coding_transcript_exon_variant	81247
intron_variant	1463432
upstream_gene_variant	125795
downstream_gene_variant	101470
intergenic_variant	969826

[Consequences (all)]
splice_acceptor_variant	98
splice_donor_variant	43
stop_gained	12403
frameshift_variant	11139
stop_lost	439
start_lost	509
inframe_insertion	412
inframe_deletion	982
